,id
499,course-v1:ColumbiaX+CORPFIN1x+1T2023
500,course-v1:ColumbiaX+CORPFIN2x+1T2023
501,course-v1:ColumbiaX+CORPFIN3x+1T2023
502,course-v1:ColumbiaX+CPC+1T2022
503,course-v1:ColumbiaX+CRMx+1T2020
504,course-v1:ColumbiaX+CU.OC.AI001+1T2024
505,course-v1:ColumbiaX+CU.OC.AI002+1T2024
506,course-v1:ColumbiaX+FOS1+3T2022
507,course-v1:ColumbiaX+FOS4+3T2022
508,course-v1:ColumbiaX+FYC1x+3T2018
509,course-v1:ColumbiaX+HLS1X+2017
510,course-v1:ColumbiaX+MBC10MLAISP+2T2023a
511,course-v1:ColumbiaX+MGC+2T2021
512,course-v1:ColumbiaX+PC001+1T2023
513,course-v1:ColumbiaX+PCH1x+2T2019
514,course-v1:ColumbiaX+PHAA+2T2023
515,course-v1:ColumbiaX+SIPA1007+1T2023
516,course-v1:ColumbiaX+SIPA1008+3T2023
517,course-v1:ColumbiaX+SIPA1009+3T2023
518,course-v1:ColumbiaX+SUCCESS+2T2020
519,course-v1:ColumbiaX+SVS+2T2021
520,course-v1:CooperUnion+CS.2x+3T2015
521,course-v1:CornellX+AMLPS+2T2024
522,course-v1:CornellX+Astro2290x2+1T2040
523,course-v1:CornellX+CIRTL.1x+2T2024
